,standard_drug_name,cellosaurus_id,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
46,3-Cl-AHPC,SNU-1079,All,CTRP2,15,0.002,66.0,3.94332,8.22194,2.93321,0.746301,17.7768,0.255638
47,3-Cl-AHPC,DEL,All,CTRP2,16,0.002,66.0,-0.804649,-0.15836,-0.804649,1.0,45.6293,0.0270993
48,3-Cl-AHPC,HARA[HUMANSQUAMOUSCELLLUNGCARCINOMA],All,CTRP2,16,0.002,66.0,-0.517667,1.64923,-0.520206,0.998713,43.7246,0.11585
49,3-Cl-AHPC,HCC15,All,CTRP2,16,0.002,66.0,1.91046,5.29681,1.71284,0.935973,28.2114,0.128129
50,3-Cl-AHPC,KP-4,All,CTRP2,16,0.002,66.0,0.784614,2.95125,0.775145,0.995199,35.0727,0.0745793
51,3-Cl-AHPC,LU-99,All,CTRP2,16,0.002,66.0,-1.26356,0.576518,-1.26384,0.999838,48.687,0.0648501
52,3-Cl-AHPC,NCI-H1155,All,CTRP2,16,0.002,66.0,-0.78477,1.33439,-0.786392,0.99916,45.501,0.0507206
53,3-Cl-AHPC,NCI-H1581,All,CTRP2,16,0.002,66.0,2.02901,5.90787,1.6988,0.906748,27.8792,0.0553004
54,3-Cl-AHPC,NCI-H2106,All,CTRP2,16,0.002,66.0,4.23212,7.63506,3.48436,0.763173,14.8602,0.0514897
55,3-Cl-AHPC,NCI-H358,All,CTRP2,16,0.002,66.0,1.97882,5.71513,1.69291,0.916128,28.0597,0.10906
56,3-Cl-AHPC,DLD-1,All,CTRP2,16,0.002,66.0,1.26154,5.01651,1.06515,0.942605,32.5084,0.0852271
57,3-Cl-AHPC,EM-2,All,CTRP2,16,0.002,66.0,0.452763,1.17542,0.452763,1.0,37.2523,0.10878
58,3-Cl-AHPC,JURL-MK1,All,CTRP2,16,0.002,66.0,-1.08005,0.0461589,-1.08005,0.999999,47.4641,0.118131
